60307,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,18,109,11,0,2,19,121,11,0,3,0,66,5,0,4,0,30,3,0,5,0,5,2,0,6,782.11,472.73,1349.09,0,7,12171.29,17530.76,246.06,0,8,0,0,0,0,9A,0,2.2,1.67,0,9B,0,1,2,0,9C,0,18,2,0,10A,60,20,17,0,10B,72.09,20,17,0,10C,89.5,20,17,0,10D,170.79,16.55,29.63,0,10E,48,103,14,0,10F,25,412,38,0,10G,4,41,6,0,10H,2330,16500,7910,0,10I,36,85,16,0,Preston Scott,"Vice President, Tax"
60308,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,17,88,11,0,2,17,112,11,0,3,0,36,8,0,4,0,21,5,0,5,0,2,3,0,6,927.65,520.98,1106.36,0,7,12119.91,15218.06,195.98,0,8,0,0,0,0,9A,0,1.71,1.6,0,9B,0,2,2,0,9C,0,10,3,0,10A,60.8,20,17,0,10B,71.05,20,17,0,10C,87.5,20,17,0,10D,173.41,16.28,29.68,0,10E,46,94,22,0,10F,31,387,68,0,10G,3,47,5,0,10H,4000,22000,5580,0,10I,43,78,23,0,Preston Scott,"Vice President, Tax"
60310,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,29,103,11,0,2,30,127,12,0,3,4,51,2,0,4,4,21,2,0,5,0,5,0,0,6,819,448.43,880,0,7,21329.78,15755.24,110.56,0,8,0,0,0,0,9A,1,2.43,1,0,9B,1,2,1,0,9C,4,9,2,0,10A,58.8,20,17,0,10B,70.49,20,17,0,10C,89.5,20,17,0,10D,171.06,17.77,29.79,0,10E,82,147,32,0,10F,66,529,96,0,10G,2,51,9,0,10H,2630,20850,9360,0,10I,70,118,29,0,Preston Scott,"Vice President, Tax"
60311,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,46,90,5,0,2,48,121,5,0,3,2,32,0,0,4,2,16,0,0,5,0,4,0,0,6,851.67,520.66,1232,0,7,33061.52,15839.57,59.39,0,8,0,0,1,0,9A,1,2,0,0,9B,1,1,0,0,9C,2,10,0,0,10A,60,20,17,0,10B,74.01,20,17,0,10C,90,20,17,0,10D,172.06,15.46,29.4,0,10E,60,80,13,0,10F,64,343,32,0,10G,15,51,3,0,10H,11410,25500,4120,0,10I,60,65,10,0,Preston Scott,"Vice President, Tax"
60312,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,36,115,13,0,2,37,146,14,0,3,3,59,13,0,4,3,29,11,0,5,0,3,2,0,6,926.76,459.59,873.57,0,7,28674.54,19381.35,304.61,0,8,0,0,0,0,9A,1,2.03,1.18,0,9B,1,2,1,0,9C,3,12,9,0,10A,60.4,20,17,0,10B,70.48,20,17,0,10C,90,20,17,0,10D,170.2,14.73,29.7,0,10E,85,131,24,0,10F,68,547,96,0,10G,4,57,3,0,10H,4980,23850,2190,0,10I,76,106,33,0,Preston Scott,"Vice President, Tax"
60313,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,0,173,0,6,2,0,211,0,6,3,0,52,0,0,4,0,30,0,0,5,0,4,0,0,6,0,449.76,0,598.33,7,0,24497.8,0,4925.4,8,0,0,0,1,9A,0,1.73,0,0,9B,0,1,0,0,9C,0,17,0,0,10A,0,20,0,120,10B,0,20,0,125.87,10C,0,20,0,133.2,10D,0,15.17,0,180,10E,10,179,0,6,10F,0,768,0,8,10G,0,87,0,3,10H,0,34650,0,1890,10I,0,148,0,9,Preston Scott,"Vice President, Tax"
60315,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,17,76,11,0,2,19,89,11,0,3,1,26,4,0,4,1,13,2,0,5,0,3,2,0,6,818.95,530.9,1001.82,0,7,13139.14,12278.2,135.37,0,8,0,0,4,0,9A,1,2,2,0,9B,1,2,2,0,9C,1,6,2,0,10A,61.2,20,17,0,10B,74.02,20,17,0,10C,90,20,17,0,10D,168.25,18.5,29.73,0,10E,34,118,30,0,10F,35,392,88,0,10G,3,37,5,0,10H,2600,19550,3300,0,10I,35,97,32,0,Preston Scott,"Vice President, Tax"
60316,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,0,124,0,2,2,0,178,0,3,3,0,35,0,0,4,0,19,0,0,5,0,4,0,0,6,0,422.75,0,916.67,7,0,18546.04,0,3656.4,8,0,0,0,1,9A,0,1.84,0,0,9B,0,1,0,0,9C,0,11,0,0,10A,0,20,0,120,10B,0,20,0,125.58,10C,0,20,0,133.2,10D,0,16.09,0,180,10E,0,131,0,6,10F,0,526,0,3,10G,0,91,0,1,10H,0,37050,0,300,10I,0,95,0,11,Preston Scott,"Vice President, Tax"
60317,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,46,96,1,0,2,49,115,1,0,3,0,44,0,0,4,0,19,0,0,5,0,3,0,0,6,963.27,466.96,7700,0,7,36750.29,16067.58,74.31,0,8,0,0,1,0,9A,0,2.32,0,0,9B,0,2,0,0,9C,0,9,0,0,10A,58.8,20,17,0,10B,74.1,20,17,0,10C,90,20,17,0,10D,172.55,17.73,30,0,10E,88,171,12,0,10F,66,426,20,0,10G,11,46,1,0,10H,11570,20950,7700,0,10I,72,112,6,0,Preston Scott,"Vice President, Tax"
60318,2019-03-31,Preston Scott,Tax Vice President,PO Box 3058,0,Spartanburg,Sc,29304,3058,8883164238,8643367334,0,1,18,128,7,0,2,19,148,7,0,3,0,69,5,0,4,0,29,3,0,5,0,5,2,0,6,908.95,455.74,555.71,0,7,12741.99,20846.69,65.72,0,8,0,0,0,0,9A,0,2.38,1.67,0,9B,0,1,2,0,9C,0,15,2,0,10A,60.4,20,17,0,10B,69.53,20,17,0,10C,89.5,20,17,0,10D,168.95,14.53,29.67,0,10E,68,138,16,0,10F,29,585,48,0,10G,3,55,3,0,10H,2180,19350,1510,0,10I,50,110,16,0,Preston Scott,"Vice President, Tax"
